Name,Version,Operation,Topic,Doc,Description,Environment,Galaxy,Workflow
"3SEQ","1.7-build170612-shell","sequence-alignment-analysis","Comparative genomics","https://mol.ax/software/3seq/","3SEQ is a command-line program that reads in a nucleotide sequence file, in phylip or aligned fasta format, and tests all sequence triplets in the file for a mosaic recombination signal indicating that one of the three sequences (the child) is a recombinant of the other two (the parents).","shell","false","false"
"ABACAS","1.3.1-conda","scaffold-gap-completion","Sequence assembly","http://abacas.sourceforge.net/","Algorithm Based Automatic Contiguation of Assembled Sequences.","conda","false","false"
"abricate","0.9.8-conda","antimicrobial-resistance-prediction","Genomics,Microbiology","https://github.com/tseemann/abricate","Mass screening of contigs for antimicrobial resistance or virulence genes.","conda","true","false"
"actc","0.2.0-conda","pairwise-sequence-alignment","Mapping","https://github.com/PacificBiosciences/actc","Align subreads to ccs reads","conda","false","false"
"ADMIXTURE","1.3.0-shell","genetic-variation-analysis","Population genetics","http://software.genetics.ucla.edu/admixture/","Maximum likelihood estimation of individual ancestries from multilocus SNP genotype datasets. It uses the same statistical model as STRUCTURE but calculates estimates using a fast numerical optimization algorithm.","shell","false","false"
"aegean","0.16.0-conda","sequence-annotation","Genomics","http://brendelgroup.github.io/AEGeAn/","The AEGeAn Toolkit provides a bundle of software tools for evaluating gene structure annotations and genome organization.","conda","true","false"
"AGAT","1.0.0-conda,0.8.0-conda","data-handling","Genomics","https://github.com/NBISweden/AGAT","Another Gff Analysis Toolkit (AGAT)","conda","false","false"
"agptools","0.0.1-conda","genome-assembly","Genomics,Sequence assembly","https://warrenlab.github.io/agptools/","Agptools is a suite of tools for performing edits to an AGP file during this manual curation stage of genome assembly.","conda","false","false"
"AlienTrimmer","0.4.2-conda","nucleic-acid-sequence-analysis","Sequence analysis","https://research.pasteur.fr/en/software/alientrimmer/","Trimming and clipping FASTQ-formatted read files.","conda","false","false"
"Alvis","1.2-singularity","chimera-detection","Genomics,Sequence analysis,Imaging","https://github.com/SR-Martin/alvis","Alvis is a tool for contig and read ALignment VISualisation and chimera detection. It produces LaTeX and SVG alignment diagrams from a number of common alignment formats.","singularity","false","false"
"andi","0.13-singularity","sequence-distance-matrix-generation","Phylogenetics","https://github.com/EvolBioInf/andi","andi estimates the evolutionary distance between closely related genomes. These distances can be used to rapidly infer phylogenies for big sets of genomes. Because andi does not compute full alignments, it is so efficient that it scales even up to thousands of bacterial genomes.","singularity","false","false"
"ANGSD","0.933-conda,0.931-conda,0.923-conda","sequence-analysis","Population genetics,Statistics and probability","http://www.popgen.dk/angsd","Software for analyzing next generation sequencing data. The software can handle a number of different input types from mapped reads to imputed genotype probabilities. Most methods take genotype uncertainty into account instead of basing the analysis on called genotypes. This is especially useful for low and medium depth data.","conda","false","false"
"antiSMASH","6.0.1-conda,5.1.2-conda","sequence-clustering","Gene and protein families,Molecular interactions, pathways and networks","http://antismash.secondarymetabolites.org","Rapid genome-wide identification, annotation and analysis of secondary metabolite biosynthesis gene clusters in bacterial and fungal genomes. It integrates and cross-links with a large number of in silico secondary metabolite analysis tools that have been published earlier.","conda","false","false"
"anvi'o","7dev-conda,7.1-conda,7-conda,6.2-conda,6-conda,5.1.0-conda,4-conda","visualisation,workflows","Metagenomics","http://merenlab.org/software/anvio/","advanced analysis and visualization platform for omics data","conda","false","false"
